party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level
8,오후 5:14,120,크루세이더,3730,오징어,2024-12-08,True,True,31.083333333333332,32.605494576979034
8,오후 5:14,115,저격수,2764,오징어,2024-12-08,True,True,24.034782608695654,24.142391304347825
8,오후 5:14,111,허밋,1930,오징어,2024-12-08,True,True,17.38738738738739,18.321861889494162
8,오후 5:14,113,허밋,2000,오징어,2024-12-08,True,True,17.699115044247787,18.321861889494162
17,오후 5:14,112,레인저,2500,와협,2024-12-08,True,True,22.321428571428573,22.00551924630154
19,오후 5:14,116,크루세이더,3800,망둥어,2024-12-08,True,True,32.758620689655174,32.605494576979034
19,오후 5:14,114,허밋,2150,망둥어,2024-12-08,True,True,18.859649122807017,18.321861889494162
25,오후 5:14,114,레인저,2500,듀파,2024-12-08,True,True,21.92982456140351,22.00551924630154
25,오후 5:14,135,나이트,3900,듀파,2024-12-08,True,True,28.88888888888889,30.112917795844623
29,오후 5:15,103,레인저,2200,오징어,2024-12-08,True,True,21.359223300970875,22.00551924630154
29,오후 5:15,108,허밋,1980,오징어,2024-12-08,True,True,18.333333333333332,18.321861889494162
31,오후 5:15,137,용기사,4950,망용둥,2024-12-08,True,True,36.13138686131387,36.02797416142608
49,오후 5:16,120,저격수,2910,와협,2024-12-08,True,True,24.25,24.142391304347825
54,오후 5:16,122,허밋,2100,불어전,2024-12-08,True,True,17.21311475409836,18.321861889494162
58,오후 5:16,110,프리스트,700,검켄,2024-12-08,True,True,6.363636363636363,6.311794155692175
65,오후 5:16,115,용기사,4200,듀파,2024-12-08,True,True,36.52173913043478,36.02797416142608
88,오후 5:17,93,썬콜,590,붉켄,2024-12-08,True,True,6.344086021505376,6.399480926641189
97,오후 5:18,110,레인저,2460,듀파,2024-12-08,True,True,22.363636363636363,22.00551924630154
97,오후 5:18,105,허밋,1900,듀파,2024-12-08,True,True,18.095238095238095,18.321861889494162
97,오후 5:18,110,크루세이더,3639,듀파,2024-12-08,True,True,33.08181818181818,32.605494576979034
97,오후 5:18,90,나이트,2750,듀파,2024-12-08,True,True,30.555555555555557,30.112917795844623
105,오후 6:18,129,프리스트,810,불어전,2024-12-08,True,True,6.27906976744186,6.311794155692175
106,오후 6:18,114,허밋,2100,듀파,2024-12-08,True,True,18.42105263157895,18.321861889494162
106,오후 6:18,85,용기사,3138,듀파,2024-12-08,True,True,36.917647058823526,36.02797416142608
106,오후 6:18,114,용기사,4000,듀파,2024-12-08,True,True,35.08771929824562,36.02797416142608
110,오후 6:18,141,허밋,2620,망용둥,2024-12-08,True,True,18.581560283687942,18.321861889494162
111,오후 6:18,86,허밋,1520,듀파,2024-12-08,True,True,17.674418604651162,18.321861889494162
113,오후 6:18,161,허밋,3160,망용둥,2024-12-08,True,True,19.627329192546583,18.321861889494162
113,오후 6:18,154,썬콜,975,망용둥,2024-12-08,True,True,6.3311688311688314,6.399480926641189
118,오후 6:18,151,프리스트,945,불어전,2024-12-08,True,True,6.258278145695364,6.311794155692175
130,오후 6:19,146,용기사,5400,블와둥,2024-12-08,True,True,36.986301369863014,36.02797416142608
132,오후 6:19,127,용기사,4600,협동,2024-12-08,True,True,36.22047244094488,36.02797416142608
132,오후 6:19,126,크루세이더,4200,협동,2024-12-08,True,True,33.333333333333336,32.605494576979034
132,오후 6:19,130,불독,820,협동,2024-12-08,True,True,6.3076923076923075,6.3076923076923075
134,오후 6:19,114,크루세이더,3600,오징어,2024-12-08,True,True,31.57894736842105,32.605494576979034
134,오후 6:19,109,크루세이더,3660,오징어,2024-12-08,True,True,33.57798165137615,32.605494576979034
134,오후 6:19,104,레인저,2354,오징어,2024-12-08,True,True,22.634615384615383,22.00551924630154
134,오후 6:19,133,허밋,2300,오징어,2024-12-08,True,True,17.293233082706767,18.321861889494162
141,오후 6:19,107,레인저,2400,오징어,2024-12-08,True,True,22.429906542056074,22.00551924630154
145,오후 6:20,129,용기사,4400,협동,2024-12-08,True,True,34.10852713178294,36.02797416142608
148,오후 6:20,126,허밋,2420,망용둥,2024-12-08,True,True,19.206349206349206,18.321861889494162
157,오후 6:20,160,용기사,5800,불어전,2024-12-08,True,True,36.25,36.02797416142608
165,오후 6:20,123,썬콜,780,붉켄,2024-12-08,True,True,6.341463414634147,6.399480926641189
169,오후 6:21,124,썬콜,800,협동,2024-12-08,True,True,6.451612903225806,6.399480926641189
185,오후 6:21,126,허밋,2400,망용둥,2024-12-08,True,True,19.047619047619047,18.321861889494162
197,오후 6:22,128,썬콜,838,붉켄,2024-12-08,True,True,6.546875,6.399480926641189
197,오후 6:22,131,썬콜,836,붉켄,2024-12-08,True,True,6.3816793893129775,6.399480926641189
199,오후 6:22,140,프리스트,877,검켄,2024-12-08,True,True,6.264285714285714,6.311794155692175
