party_id,time,level,job,spec,map,date,valid,spec_to_level,average_spec_to_level,spec_to_level_outlier,refined_average_spec_to_level
8,오전 12:42,143,저격수,3800,망용둥,2024-12-10,True,26.573426573426573,24.89417809806159,False,24.89417809806159
8,오전 12:42,110,용기사,4639,망용둥,2024-12-10,True,42.17272727272727,38.1136343673918,False,36.411689894487225
18,오전 12:43,137,용기사,4950,망용둥,2024-12-10,True,36.13138686131387,38.1136343673918,False,36.411689894487225
52,오전 12:45,121,레인저,2760,망용둥,2024-12-10,True,22.8099173553719,22.752899871874916,False,24.02376970132236
75,오전 12:46,110,허밋,2050,망용둥,2024-12-10,True,18.636363636363637,17.781654913123155,False,16.92226560038145
85,오전 12:47,103,저격수,2650,와협,2024-12-10,True,25.728155339805824,24.89417809806159,False,24.89417809806159
95,오전 12:48,122,썬콜,900,망용둥,2024-12-10,True,7.377049180327869,6.657135810665659,False,6.657135810665659
99,오전 12:51,153,용기사,5250,,2024-12-10,True,34.31372549019608,38.1136343673918,False,36.411689894487225
143,오전 12:53,141,크루세이더,3753,망둥어,2024-12-10,True,26.617021276595743,31.936421502814778,False,31.936421502814778
147,오전 12:53,95,썬콜,638,붉켄,2024-12-10,True,6.71578947368421,6.657135810665659,False,6.657135810665659
165,오전 2:05,112,허밋,1650,듀파,2024-12-10,True,14.732142857142858,17.781654913123155,False,16.92226560038145
179,오전 2:06,121,허밋,2190,망용둥,2024-12-10,True,18.09917355371901,17.781654913123155,False,16.92226560038145
229,오전 2:09,86,허밋,1600,듀파,2024-12-10,True,18.6046511627907,17.781654913123155,False,16.92226560038145
237,오전 2:09,136,레인저,3200,망용둥,2024-12-10,True,23.529411764705884,22.752899871874916,False,24.02376970132236
241,오전 2:09,130,프리스트,816,불어전,2024-12-10,True,6.276923076923077,6.711594740195417,False,6.0550200931543285
249,오전 2:09,98,레인저,2300,듀파,2024-12-10,True,23.46938775510204,22.752899871874916,False,24.02376970132236
275,오후 7:10,99,허밋,1580,듀파,2024-12-10,True,15.95959595959596,17.781654913123155,False,16.92226560038145
280,오후 7:10,141,크루세이더,4270,,2024-12-10,True,30.28368794326241,31.936421502814778,False,31.936421502814778
283,오후 7:10,123,프리스트,700,검켄,2024-12-10,True,5.691056910569106,6.711594740195417,False,6.0550200931543285
285,오후 7:10,127,썬콜,795,레와둥,2024-12-10,True,6.25984251968504,6.657135810665659,False,6.657135810665659
298,오후 7:10,116,썬콜,728,불어전,2024-12-10,True,6.275862068965517,6.657135810665659,False,6.657135810665659
326,오후 7:11,118,용기사,4330,,2024-12-10,True,36.69491525423729,38.1136343673918,False,36.411689894487225
364,오후 7:13,105,저격수,2350,오징어,2024-12-10,True,22.38095238095238,24.89417809806159,False,24.89417809806159
371,오후 7:13,113,크루세이더,3800,,2024-12-10,True,33.6283185840708,31.936421502814778,False,31.936421502814778
380,오후 7:13,155,허밋,2850,망용둥,2024-12-10,True,18.387096774193548,17.781654913123155,False,16.92226560038145
396,오후 7:14,115,크루세이더,3700,망둥어,2024-12-10,True,32.17391304347826,31.936421502814778,False,31.936421502814778
407,오후 7:14,115,허밋,2081,망용둥,2024-12-10,True,18.095652173913045,17.781654913123155,False,16.92226560038145
411,오후 7:14,137,프리스트,849,,2024-12-10,True,6.197080291970803,6.711594740195417,False,6.0550200931543285
448,오후 7:16,109,레인저,2510,듀파,2024-12-10,True,23.027522935779817,22.752899871874916,False,24.02376970132236
448,오후 7:16,92,레인저,2510,듀파,2024-12-10,True,27.282608695652176,22.752899871874916,False,24.02376970132236
448,오후 7:16,101,용기사,3250,듀파,2024-12-10,True,32.17821782178218,38.1136343673918,False,36.411689894487225
448,오후 7:16,96,용기사,3550,듀파,2024-12-10,True,36.979166666666664,38.1136343673918,False,36.411689894487225
448,오후 7:16,108,허밋,1674,듀파,2024-12-10,True,15.5,17.781654913123155,False,16.92226560038145
448,오후 7:16,105,허밋,1500,듀파,2024-12-10,True,14.285714285714286,17.781654913123155,False,16.92226560038145
448,오후 7:16,96,크루세이더,3550,듀파,2024-12-10,True,36.979166666666664,31.936421502814778,False,31.936421502814778
448,오후 7:16,112,나이트,2742,듀파,2024-12-10,True,24.482142857142858,24.482142857142858,False,24.482142857142858
